YEAR,MONTH,COMMODITY,"WEIGHT, KG PER BAG"," PRICE, ¢ GH"
1970,JANUARY,MAIZE,100,0.0011
1970,FEBRUARY,MAIZE,100,0.0012
1970,MARCH,MAIZE,100,0.0012
1970,APRIL,MAIZE,100,0.0013
1970,MAY,MAIZE,100,0.0014
1970,JUNE,MAIZE,100,0.0013
1970,JULY,MAIZE,100,0.0013
1970,AUGUST,MAIZE,100,0.0012
1970,SEPTEMBER,MAIZE,100,0.0009
1970,OCTOBER,MAIZE,100,0.0009
1970,NOVEMBER,MAIZE,100,0.0011
1970,DECEMBER,MAIZE,100,0.0011
1971,JANUARY,MAIZE,100,0.0011
1971,FEBRUARY,MAIZE,100,0.0011
1971,MARCH,MAIZE,100,0.0012
1971,APRIL,MAIZE,100,0.0013
1971,MAY,MAIZE,100,0.0014
1971,JUNE,MAIZE,100,0.0014
1971,JULY,MAIZE,100,0.0013
1971,AUGUST,MAIZE,100,0.001
1971,SEPTEMBER,MAIZE,100,0.001
1971,OCTOBER,MAIZE,100,0.001
1971,NOVEMBER,MAIZE,100,0.0012
1971,DECEMBER,MAIZE,100,0.0013
1972,JANUARY,MAIZE,100,0.0014
1972,FEBRUARY,MAIZE,100,0.0016
1972,MARCH,MAIZE,100,0.0018
1972,APRIL,MAIZE,100,0.0023
1972,MAY,MAIZE,100,0.0024
1972,JUNE,MAIZE,100,0.0025
1972,JULY,MAIZE,100,0.0018
1972,AUGUST,MAIZE,100,0.0012
1972,SEPTEMBER,MAIZE,100,0.0011
1972,OCTOBER,MAIZE,100,0.0013
1972,NOVEMBER,MAIZE,100,0.0016
1972,DECEMBER,MAIZE,100,0.001
1973,JANUARY,MAIZE,100,0.0017
1973,FEBRUARY,MAIZE,100,0.0017
1973,MARCH,MAIZE,100,0.0019
1973,APRIL,MAIZE,100,0.0023
1973,MAY,MAIZE,100,0.0025
1973,JUNE,MAIZE,100,0.0024
1973,JULY,MAIZE,100,0.0021
1973,AUGUST,MAIZE,100,0.0015
1973,SEPTEMBER,MAIZE,100,0.0014
1973,OCTOBER,MAIZE,100,0.0014
1973,NOVEMBER,MAIZE,100,0.0016
1973,DECEMBER,MAIZE,100,0.0016
1974,JANUARY,MAIZE,100,0.0018
1974,FEBRUARY,MAIZE,100,0.0019
1974,MARCH,MAIZE,100,0.002
1974,APRIL,MAIZE,100,0.0022
1974,MAY,MAIZE,100,0.0022
1974,JUNE,MAIZE,100,0.0021
1974,JULY,MAIZE,100,0.002
1974,AUGUST,MAIZE,100,0.0021
1974,SEPTEMBER,MAIZE,100,0.002
1974,OCTOBER,MAIZE,100,0.0022
1974,NOVEMBER,MAIZE,100,0.002
1974,DECEMBER,MAIZE,100,0.0021
1975,JANUARY,MAIZE,100,0.002
1975,FEBRUARY,MAIZE,100,0.0021
1975,MARCH,MAIZE,100,0.0022
1975,APRIL,MAIZE,100,0.0024
1975,MAY,MAIZE,100,0.0027
1975,JUNE,MAIZE,100,0.0029
1975,JULY,MAIZE,100,0.0027
1975,AUGUST,MAIZE,100,0.0021
1975,SEPTEMBER,MAIZE,100,0.0019
1975,OCTOBER,MAIZE,100,0.0032
1975,NOVEMBER,MAIZE,100,0.003
1975,DECEMBER,MAIZE,100,0.0028
1976,JANUARY,MAIZE,100,0.0037
1976,FEBRUARY,MAIZE,100,0.0039
1976,MARCH,MAIZE,100,0.0038
1976,APRIL,MAIZE,100,0.0043
1976,MAY,MAIZE,100,0.0056
1976,JUNE,MAIZE,100,0.0068
1976,JULY,MAIZE,100,0.0074
1976,AUGUST,MAIZE,100,0.0059
1976,SEPTEMBER,MAIZE,100,0.0053
1976,OCTOBER,MAIZE,100,0.0063
1976,NOVEMBER,MAIZE,100,0.0074
1976,DECEMBER,MAIZE,100,0.0079
1977,JANUARY,MAIZE,100,0.0087
1977,FEBRUARY,MAIZE,100,0.0094
1977,MARCH,MAIZE,100,0.0096
1977,APRIL,MAIZE,100,0.0108
1977,MAY,MAIZE,100,0.0179
1977,JUNE,MAIZE,100,0.0184
1977,JULY,MAIZE,100,0.0155
1977,AUGUST,MAIZE,100,0.0165
1977,SEPTEMBER,MAIZE,100,0.0083
1977,OCTOBER,MAIZE,100,0.0079
1977,NOVEMBER,MAIZE,100,0.0094
1977,DECEMBER,MAIZE,100,0.0102
1978,JANUARY,MAIZE,100,0.012
1978,FEBRUARY,MAIZE,100,0.0129
1978,MARCH,MAIZE,100,0.0133
1978,APRIL,MAIZE,100,0.0123
1978,MAY,MAIZE,100,0.012
1978,JUNE,MAIZE,100,0.0138
1978,JULY,MAIZE,100,0.0141
1978,AUGUST,MAIZE,100,0.0132
1978,SEPTEMBER,MAIZE,100,0.0124
1978,OCTOBER,MAIZE,100,0.0144
1978,NOVEMBER,MAIZE,100,0.0163
1978,DECEMBER,MAIZE,100,0.0143
1979,JANUARY,MAIZE,100,0.0142
1979,FEBRUARY,MAIZE,100,0.0176
1979,MARCH,MAIZE,100,0.0149
1979,APRIL,MAIZE,100,0.0177
1979,MAY,MAIZE,100,0.021
1979,JUNE,MAIZE,100,0.0229
1979,JULY,MAIZE,100,0.0174
1979,AUGUST,MAIZE,100,0.0141
1979,SEPTEMBER,MAIZE,100,0.0175
1979,OCTOBER,MAIZE,100,0.0167
1979,NOVEMBER,MAIZE,100,0.0151
1979,DECEMBER,MAIZE,100,0.011
1980,JANUARY,MAIZE,100,0.0229
1980,FEBRUARY,MAIZE,100,0.0223
1980,MARCH,MAIZE,100,0.0256
1980,APRIL,MAIZE,100,0.0327
1980,MAY,MAIZE,100,0.0405
1980,JUNE,MAIZE,100,0.0589
1980,JULY,MAIZE,100,0.0622
1980,AUGUST,MAIZE,100,0.0396
1980,SEPTEMBER,MAIZE,100,0.0485
1980,OCTOBER,MAIZE,100,0.0383
1980,NOVEMBER,MAIZE,100,0.0431
1980,DECEMBER,MAIZE,100,0.0619
1981,JANUARY,MAIZE,100,0.0605
