REGION,DISTRICT,YEAR,CROP,AREA (HA),YIELD (MT/HA),PRODUCTION (MT)
WESTERN,SHAMA AHANTA EAST,1993,MAIZE, 366.00 , 0.95 , 348.00 
WESTERN,WEST AHANTA,1993,MAIZE," 1,513.00 ", 1.00 ," 1,513.00 "
WESTERN,MPORHOR WASSA EAST,1993,MAIZE," 2,948.00 ", 1.08 ," 3,184.00 "
WESTERN,WASSA WEST,1993,MAIZE," 3,672.00 ", 1.00 ," 3,672.00 "
WESTERN,EAST NZEMA,1993,MAIZE," 1,050.00 ", 0.85 , 893.00 
WESTERN,JOMORO,1993,MAIZE, 850.00 , 0.85 , 723.00 
WESTERN,WASSA AMENFI,1993,MAIZE," 7,092.00 ", 1.15 ," 8,156.00 "
WESTERN,AOWIN -SUAMAN,1993,MAIZE," 5,710.00 ", 1.08 ," 6,168.00 "
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,MAIZE," 4,392.00 ", 1.16 ," 5,095.00 "
WESTERN,SEFWI-WIAWSO,1993,MAIZE," 6,713.00 ", 1.20 ," 8,056.00 "
WESTERN,JUABESO-BIA,1993,MAIZE," 8,254.00 ", 1.25 ," 10,302.00 "
WESTERN,SHAMA AHANTA EAST,1993,RICE, 55.00 , 1.09 , 60.00 
WESTERN,WEST AHANTA,1993,RICE, 30.00 , 1.00 , 30.00 
WESTERN,MPORHOR WASSA EAST,1993,RICE, 232.00 , 1.15 , 267.00 
WESTERN,WASSA WEST,1993,RICE, 980.00 , 1.18 ," 1,156.00 "
WESTERN,EAST NZEMA,1993,RICE, 380.00 , 1.00 , 380.00 
WESTERN,JOMORO,1993,RICE, 240.00 , 1.00 , 240.00 
WESTERN,WASSA AMENFI,1993,RICE," 2,163.00 ", 1.20 ," 2,597.00 "
WESTERN,AOWIN -SUAMAN,1993,RICE," 1,135.00 ", 1.20 ," 1,360.00 "
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,RICE," 1,010.00 ", 1.18 ," 1,188.00 "
WESTERN,SEFWI-WIAWSO,1993,RICE," 1,325.00 ", 1.20 ," 1,590.00 "
WESTERN,JUABESO-BIA,1993,RICE," 2,010.00 ", 1.30 ," 2,612.00 "
WESTERN,SHAMA AHANTA EAST,1993,CASSAVA," 1,632.00 ", 7.40 ," 12,076.00 "
WESTERN,WEST AHANTA,1993,CASSAVA," 4,704.00 ", 8.50 ," 39,984.00 "
WESTERN,MPORHOR WASSA EAST,1993,CASSAVA," 4,873.00 ", 8.70 ," 42,395.00 "
WESTERN,WASSA WEST,1993,CASSAVA," 4,322.00 ", 7.70 ," 33,279.00 "
WESTERN,EAST NZEMA,1993,CASSAVA," 3,450.00 ", 8.50 ," 29,325.00 "
WESTERN,JOMORO,1993,CASSAVA," 4,804.00 ", 8.80 ," 42,275.00 "
WESTERN,WASSA AMENFI,1993,CASSAVA," 6,145.00 ", 9.00 ," 55,305.00 "
WESTERN,AOWIN -SUAMAN,1993,CASSAVA," 5,862.00 ", 9.10 ," 53,353.00 "
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,CASSAVA," 5,294.00 ", 9.20 ," 48,705.00 "
WESTERN,SEFWI-WIAWSO,1993,CASSAVA," 5,244.00 ", 9.90 ," 51,916.00 "
WESTERN,JUABESO-BIA,1993,CASSAVA," 5,740.00 ", 10.40 ," 59,717.00 "
WESTERN,WEST AHANTA,1993,YAM, 25.00 , 3.80 , 95.00 
WESTERN,MPORHOR WASSA EAST,1993,YAM, 147.00 , 4.00 , 588.00 
WESTERN,WASSA WEST,1993,YAM, 124.00 , 3.54 , 439.00 
WESTERN,WASSA AMENFI,1993,YAM, 865.00 , 5.40 ," 4,671.00 "
WESTERN,AOWIN -SUAMAN,1993,YAM, 716.00 , 4.90 ," 3,508.00 "
WESTERN,BIBIANI-ANHWIASO-BEKWAI,1993,YAM," 1,440.00 ", 5.50 ," 7,920.00 "
WESTERN,SEFWI-WIAWSO,1993,YAM," 1,620.00 ", 5.70 ," 9,234.00 "
WESTERN,JUABESO-BIA,1993,YAM," 3,913.00 ", 5.80 ," 22,695.00 "
CENTRAL,UPPER DENKYIRA,1993,MAIZE," 6,480.00 ", 1.20 ," 7,774.00 "
CENTRAL,TWIFO HERMAN LOWER DENKYIRA,1993,MAIZE," 3,883.00 ", 1.20 ," 4,657.00 "
CENTRAL,ASSIN NORTH,1993,MAIZE," 5,925.00 ", 1.20 ," 7,110.00 "
CENTRAL,ABURA-ASEBU-KWAMANKESE,1993,MAIZE," 4,675.00 ", 1.20 ," 5,610.00 "
CENTRAL,ASIKUMA-ODOBEN-BRAKWA,1993,MAIZE," 4,121.00 ", 1.20 ," 4,944.00 "
CENTRAL,MFANTSIMAN,1993,MAIZE," 7,645.00 ", 1.20 ," 9,173.00 "
CENTRAL,KOMENDA-EDINA-EGUAFO-ABIREM,1993,MAIZE," 4,490.00 ", 1.20 ," 5,388.00 "
CENTRAL,AJUMAKO-ENYAN-ESIAM,1993,MAIZE," 3,592.00 ", 1.20 ," 4,308.00 "
CENTRAL,AWUTU-EFUTU-SENYA,1993,MAIZE," 13,451.00 ", 1.20 ," 16,140.00 "
CENTRAL,GOMOA,1993,MAIZE," 2,304.00 ", 1.20 ," 2,764.00 "
CENTRAL,CAPE COAST,1993,MAIZE," 3,944.00 ", 1.20 ," 4,732.00 "
CENTRAL,AGONA,1993,MAIZE," 6,910.00 ", 1.20 ," 8,290.00 "
